2025-05-25 17:10:27 | INFO     | main:setup_context_properties:226 | QML context properties set up successfully
2025-05-25 17:10:28 | ERROR    | main:load_main_qml:241 | Failed to load QML file
2025-05-25 17:11:53 | INFO     | app_logging.log_manager:setup_logging:64 | Logging system initialized
2025-05-25 17:11:53 | INFO     | main:initialize_core_components:116 | Core components initialized successfully
2025-05-25 17:11:53 | INFO     | main:initialize_api_clients:135 | API clients initialized successfully
2025-05-25 17:11:53 | INFO     | main:initialize_business_services:174 | Business services initialized successfully
2025-05-25 17:11:53 | INFO     | qml_handlers.theme_manager:_load_custom_fonts:64 | Custom fonts loaded successfully
2025-05-25 17:11:53 | INFO     | main:initialize_qml_handlers:188 | QML handlers initialized successfully
2025-05-25 17:11:53 | INFO     | main:register_qml_types:207 | QML types registered successfully
2025-05-25 17:11:53 | INFO     | main:setup_context_properties:226 | QML context properties set up successfully
2025-05-25 17:11:53 | ERROR    | main:load_main_qml:241 | Failed to load QML file
2025-05-25 17:54:17 | INFO     | app_logging.log_manager:setup_logging:64 | Logging system initialized
2025-05-25 17:54:17 | INFO     | main:initialize_core_components:116 | Core components initialized successfully
2025-05-25 17:54:17 | INFO     | main:initialize_api_clients:135 | API clients initialized successfully
2025-05-25 17:54:17 | INFO     | main:initialize_business_services:174 | Business services initialized successfully
2025-05-25 17:54:17 | INFO     | qml_handlers.theme_manager:_load_custom_fonts:64 | Custom fonts loaded successfully
2025-05-25 17:54:17 | INFO     | main:initialize_qml_handlers:188 | QML handlers initialized successfully
2025-05-25 17:54:17 | INFO     | main:register_qml_types:207 | QML types registered successfully
2025-05-25 17:54:17 | INFO     | main:setup_context_properties:226 | QML context properties set up successfully
2025-05-25 17:54:18 | ERROR    | main:load_main_qml:241 | Failed to load QML file
2025-05-25 18:19:48 | INFO     | app_logging.log_manager:setup_logging:64 | Logging system initialized
2025-05-25 18:19:48 | INFO     | main:initialize_core_components:116 | Core components initialized successfully
2025-05-25 18:19:48 | INFO     | main:initialize_api_clients:135 | API clients initialized successfully
2025-05-25 18:19:48 | INFO     | main:initialize_business_services:174 | Business services initialized successfully
2025-05-25 18:19:48 | INFO     | qml_handlers.theme_manager:_load_custom_fonts:64 | Custom fonts loaded successfully
2025-05-25 18:19:48 | INFO     | main:initialize_qml_handlers:188 | QML handlers initialized successfully
2025-05-25 18:19:48 | INFO     | main:register_qml_types:207 | QML types registered successfully
2025-05-25 18:19:48 | INFO     | main:setup_context_properties:226 | QML context properties set up successfully
2025-05-25 18:19:49 | ERROR    | main:load_main_qml:241 | Failed to load QML file
2025-05-25 18:21:09 | INFO     | app_logging.log_manager:setup_logging:64 | Logging system initialized
2025-05-25 18:21:09 | INFO     | main:initialize_core_components:116 | Core components initialized successfully
2025-05-25 18:21:09 | INFO     | main:initialize_api_clients:135 | API clients initialized successfully
2025-05-25 18:21:09 | INFO     | main:initialize_business_services:174 | Business services initialized successfully
2025-05-25 18:21:09 | INFO     | qml_handlers.theme_manager:_load_custom_fonts:64 | Custom fonts loaded successfully
2025-05-25 18:21:09 | INFO     | main:initialize_qml_handlers:188 | QML handlers initialized successfully
2025-05-25 18:21:09 | INFO     | main:register_qml_types:207 | QML types registered successfully
2025-05-25 18:21:09 | INFO     | main:setup_context_properties:226 | QML context properties set up successfully
2025-05-25 18:21:09 | ERROR    | main:load_main_qml:241 | Failed to load QML file
2025-05-25 18:27:25 | INFO     | app_logging.log_manager:setup_logging:64 | Logging system initialized
2025-05-25 18:27:25 | INFO     | main:initialize_core_components:116 | Core components initialized successfully
2025-05-25 18:27:25 | INFO     | main:initialize_api_clients:135 | API clients initialized successfully
2025-05-25 18:27:25 | INFO     | main:initialize_business_services:174 | Business services initialized successfully
2025-05-25 18:27:25 | INFO     | qml_handlers.theme_manager:_load_custom_fonts:64 | Custom fonts loaded successfully
2025-05-25 18:27:25 | INFO     | main:initialize_qml_handlers:188 | QML handlers initialized successfully
2025-05-25 18:27:25 | INFO     | main:register_qml_types:207 | QML types registered successfully
2025-05-25 18:27:25 | INFO     | main:setup_context_properties:226 | QML context properties set up successfully
2025-05-25 18:27:25 | ERROR    | main:load_main_qml:241 | Failed to load QML file
2025-05-25 18:27:37 | INFO     | app_logging.log_manager:setup_logging:64 | Logging system initialized
2025-05-25 18:27:37 | INFO     | main:initialize_core_components:116 | Core components initialized successfully
2025-05-25 18:27:37 | INFO     | main:initialize_api_clients:135 | API clients initialized successfully
2025-05-25 18:27:37 | INFO     | main:initialize_business_services:174 | Business services initialized successfully
2025-05-25 18:27:37 | INFO     | qml_handlers.theme_manager:_load_custom_fonts:64 | Custom fonts loaded successfully
2025-05-25 18:27:37 | INFO     | main:initialize_qml_handlers:188 | QML handlers initialized successfully
2025-05-25 18:27:37 | INFO     | main:register_qml_types:207 | QML types registered successfully
2025-05-25 18:27:37 | INFO     | main:setup_context_properties:226 | QML context properties set up successfully
2025-05-25 18:27:38 | ERROR    | main:load_main_qml:241 | Failed to load QML file
2025-05-25 18:28:44 | INFO     | app_logging.log_manager:setup_logging:64 | Logging system initialized
2025-05-25 18:28:44 | INFO     | main:initialize_core_components:116 | Core components initialized successfully
2025-05-25 18:28:44 | INFO     | main:initialize_api_clients:135 | API clients initialized successfully
2025-05-25 18:28:44 | INFO     | main:initialize_business_services:174 | Business services initialized successfully
2025-05-25 18:28:44 | INFO     | qml_handlers.theme_manager:_load_custom_fonts:64 | Custom fonts loaded successfully
2025-05-25 18:28:44 | INFO     | main:initialize_qml_handlers:188 | QML handlers initialized successfully
2025-05-25 18:28:44 | INFO     | main:register_qml_types:207 | QML types registered successfully
2025-05-25 18:28:44 | INFO     | main:setup_context_properties:226 | QML context properties set up successfully
2025-05-25 18:28:44 | ERROR    | main:load_main_qml:241 | Failed to load QML file
2025-05-25 18:30:18 | INFO     | app_logging.log_manager:setup_logging:64 | Logging system initialized
2025-05-25 18:30:18 | INFO     | main:initialize_core_components:116 | Core components initialized successfully
2025-05-25 18:30:18 | INFO     | main:initialize_api_clients:135 | API clients initialized successfully
2025-05-25 18:30:18 | INFO     | main:initialize_business_services:174 | Business services initialized successfully
2025-05-25 18:30:18 | INFO     | qml_handlers.theme_manager:_load_custom_fonts:64 | Custom fonts loaded successfully
2025-05-25 18:30:18 | INFO     | main:initialize_qml_handlers:188 | QML handlers initialized successfully
2025-05-25 18:30:18 | INFO     | main:register_qml_types:207 | QML types registered successfully
2025-05-25 18:30:18 | INFO     | main:setup_context_properties:226 | QML context properties set up successfully
2025-05-25 18:30:19 | ERROR    | main:load_main_qml:241 | Failed to load QML file
